ID,Name,Age,Region,Num_Departure,Profile
11,fjkuzcbZ,05,Tampines,03,zSfGCXjmCmjVzoyDkkXXLRnrkWzfMKuWRbdgDdKmdqSgbrIcmBUkYsjBiSadIC
12,wLFFEUWy,05,Tampines,02,RCnURPkzjCQEyWlHfZfcPGyZSIgXmMJOwsDoWMXzJhQnVqaclUPQkjCgnEPamkAOl
13,eRacrP,06,Bedok,01,DdCjkSroqcMdDKnufEHamnRazkJRUymZrOYEGgUdKlPBKciDFkZVjndkVGqXZRLQgyXmyUJQC
14,lMigvVXiy,06,Bedok,01,SQXVUFrqnbzRGmQdgHKhmkEqSeehQGXSHPUmgkjgDLzddkORJqCKJnzVdYZlBYsGKAEdPsDzyRRndiiQDwCESjBUFhSaRHkcgIGoeaRZSIFZgkrPhXsQzCnMLsSgEcLJlboSO
15,qHuLMSwi,06,Bedok,06,ceQMLQJVvkiSVfVYgKoFSSJmLdzHvWOhQCObbSGdJAkkCiGlRGLnOJaVoPrYcBS
16,cWSRDKXknz,06,Bedok,02,jbknVsyPkiPhOdeVvjbDlUyGHbAqoflvwmOgiBLkahbcPfKARQXqbkPYsGoUJnSiWIWmeRVhhQVkJVWldlzSubbBsFELvaGzsFiRgkqmccPPsyPFJZgORUzsCSLgIFIA
17,iVRSawKdn,06,Jurong_West,17,MShROwYDgnShZkzAKhqEXJsMhnWbLvoCbGmkwSVfEDiIyReanP
18,oodcmLPk,06,Jurong_West,02,aUEywwULDLDRDmamJzVWLDfWigQnacFUvkSCwvzMEKasnCaSvumUuAVYHdVlWoCZoJUmvfuWCkhPgVwBAJDlqqCBky
19,SeSWS,06,Jurong_West,09,AmdSGyIGjSIlRQHiRzjEUkMrKybGwnGiVUKSIGQfEkszjKJjoHEHZlPSzwrwVndnohqdIqvoUsjYynHcJBgmnUWmXHoVKdLBISXbHCGCczfOhHhECGKWKieshmWiLaEnGFdHjIihdlWHmkj
20,FHhQOevkQz,06,Jurong_West,01,kABdUUDcDggdVyWImwjoOUhlYoDIdSiEgkQPAGzmgJmEdAPdWQsjiVDqYesoOddXkSWiQECPKadZXaqGYyXkgKe
21,jqsRuEoZZe,06,Tampines,01,kZgfGbsdXJWSnGbgjSMSZPRWHXVQHccFhXMILAXmqGoRiJFVLvmkOvgJfMIZukQjJmuyYLdFusXPURvkQbPdCOSdAikqogSPcsZMSLQSUDJnIhSEPVuXZE
22,dBeAV,06,Tampines,01,HXhBfnkcvoFzkPfSHvzgGhYSbjnlrvfShRLQzSoAbBgYoLSWFowdUFUMBfnPSKYo
23,JujDfUSUF,06,Tampines,05,YeaYYVkLzLLFSicynVyQQzljUmYKhlOOamSFXdeRhdrksIdijYgkUkoSJUmDSMJIwreXIDfCjudeDZnmdGhFBGJHaQFZXgaHIUeIllsulmBBkIvfIVsmJbWPoUFaGYXKRHwHsfCYyYdwf
24,nHKaF,06,Tampines,01,cbdsHhsGSwSYqzREekfBLJjSKkBJQGDUCvGVyJLidqDESoDZHqqylXmluJoSByjHIzRlifFRKJCuBcYvC
25,MjFULdbmK,07,Bedok,02,UmZfqyOMaFLknoodRMZnnQHFchSZEBcIJQWbJqOAnQShHgKoclFyjjQedFaeXbBDdCkvuUjOeFfEMESjcwnbzYXLVBmnrMDEkbfjAdkrwsOvnOlWngOBaCcrvgMuzbkwJwdzSUmULk
26,cAcmVDOj,07,Bedok,01,WkILvPKmPwkbBLIDJbSdWMywigmmSglhrowUZMlzBJUEeiIUOeYJkKYgjLGrcBFssROLDPOFMakOovhVGijklfiXSdASLaokfbVOaJMGSDayUjAhlSXEQMZVVeXuSraPmAyIUFwvhVfZQJPJ
27,FlFSQXLSCL,07,Bedok,01,aqlZOqSFQyPazWHhXlVEXUbnVzSWnkqXQvSssfvqJefHXwknofwcUSFlHeEKvhOGjHcYrPUhDye
28,kqrjmwOWe,07,Bedok,01,wGfhJvQFXyfmagwgnKlAZLsRPBLbOWwwSEdGaUaZabZeJXfJUdJidgSUJzksqCFQikuWEylScPLXDZPnESHQLhLwnwIVBiYISDOKclEcUlSzzUza
29,XzdKukiW,07,Jurong_West,08,jKvfZYMCklcyRiajwQqSGEcQBBAdURaEyOrjURBUSqkoUqVeWuoFSHmSauXyFSRMSSPBkLSUVoZXCBojcACUCkVUGXHPykvVGoXKBja
30,ShKXIA,07,Jurong_West,01,uyCSoHCqGaPvXnzShPXPvsZIAoEojCninvaLSqSaRajFcVUqlWglOQqlQuZnQHvGdhhBySwhFbRrjmbMnoQqSsirykBqSzBAIwEqZIqYYEObVedGQGOcaeBVYgZimabJBDzSUzaMsdYkgRLBLU
31,Fnkzmyb,07,Jurong_West,02,WMbUKGMwadVAEzCsGRIihDCfnkAvSrvdYMfDJfibXmVeuEVjWukDWkoecUBwYLCPejVAQmVfXRGUwnRnElcfvPCvHArynjumjDKuKCVEEgMqRFQVKk
32,GjrwWYIzDa,07,Jurong_West,01,KQHkqICkQcrMnMEvyUorOmzbsWSHmYXiKcAdbAjCiKJbRokhqdvVWsJXjPKSkligqSlrQZMMXzBMkIsCRRgIrcVwSoYQfcCWlAOSYlFsjRCrGiekdkljVlhZSV
33,CECmWghA,07,Tampines,01,SZPhuYoEfZnBhMbKbEvOCVAhhMAvMimHzjBJOvjIVwyjSMwIuqlvSRPVYCbzqEXFYbHVsIojRqbIYqJSvdjbGcAkmaOdoUzzVwLvBAYnSyGGkUgXPsjwEbkXrZASZqzSRsKVIdjWzGwUEkhWM
34,VlSLZqGfH,07,Tampines,07,RivvgAjOfiADlFcdQEhBPWQoSRujQRWSKSrEkRSfYSkMeozDadmmVqLbqAgY
35,fHbVDz,07,Tampines,01,kmmymiDCDRKYLwIUlSCXUKvuJRswwqPPyEyPfBzmcBBjlDURkFibFLRuHogbnClYOckDFoFjsReKkIsRyGaCFSSonErVFZkfeKWhvkSmSEFkLgo
36,DdkXJSG,07,Tampines,02,BUMJcefUKDASSjrhDSfFIzAnmMUHDSyDcFZuUkarVvrSOJBPBOfJQAzScFgSVUZZOZdGZMWyMYLjryEswZUJerKXckvBZvDlPhErjRacryjRySsykfQlbSrmcmIHdlzLaEhEjkjGMJZgXhBbASkJD
37,rWiKkSPSO,08,Bedok,01,hRdPePrLKhdcwnqIQRsErGYLJQakJJwvovuSbrdJVZSIgYIiuarCyYIIyRnHLrdobkiWduBiiuOdreGlDnLYlvjSUFXcRJufSIcUOnEkeIwYoLAPaHQjYseOdkUQbZ
38,OSFEkh,08,Bedok,02,lJyuuKcSLoaRZkmXSRMrjXdzvSeZfXBuwDSBRKucCYqgsmyydolgbohForXrIfyrPMEsPACjkZVrkDfcOkicDZFkzbCHCwSFkoEUvk
39,fmbkX,08,Bedok,02,EJLbSQldcbDdDbBfLegZsURWKsZnwLmIIFnOMYZzzBjdnlfEWHyshDSQWFSqMrPhojuLDDMesaBFRzRnLEWAnMqzRzMAQDcVuMiqcLEqgYLvPLSAQyJAOazzRIECqUkhnmDlrGQAdvZXJbO
40,jwkilf,08,Bedok,01,aQVYruawkIbGGYPPZdfbADAsEakkyckFQQduOEhcrwqjvlFicmjHqoYaIgiFsAYYKkmevcWzPfkGUPWAWYdHJGYSAemjBjzEEAOqcbbFArPmGXH
41,kjDvHuh,08,Jurong_West,01,QLllMcjPaSjSzJzscXaCiuUlasFAMSjvCSfBdyZSVQisCSkqEScHOvSmMBEloMIPsqYCbYKgvXEmXGyIPDYkcrGyofOjodmjQlH
42,CuimaUmh,08,Jurong_West,04,XMbqAPcFsFQPECBSFRJsEEVanuFJFjjEgFnXOQRmmBQAiyrjMiaymfzowjuMOydYchJEiOBjsAXYfbQkkvhzqYcfsyZOKCFIMGalzSBsgghkQVLoRFrZBsmyrSQJGUkbSZdfGZKQPcSqqbUWnwWMO
43,DrKHy,08,Jurong_West,03,BzLbjjhDFPflyiFoSdeVkXBHDCRQyajiWRnIoLqJrknbylWuhPaRunCwkzPPWPkRJSsRqmFQDlyiUcvJECPcqCsvyDdEmbZmYoAOuWlmlKnmEyZdCkPOibKlFiLACMZGw
44,SJqZXUhZS,08,Jurong_West,04,YPlnvknGiDqHKGluJjmzwmBrWmKFFmhRCcJfmlkgkrcHwoBIwkOkQZrermDAjnrzkbOGcqmzPWkFhkfqsMJdGPoyZvfFOsrkuddRJZHqoaXqvd
45,LAudGmgUgQ,08,Tampines,01,jPClJvhSmGaYsvPGUsaSGEEdePVLleFQfUkOgHHysjVzckIRQSPIOcAGcAGCqQGAZSFclgUdKYqySYVvZGHSZvEbnWcAsRCkGPkdRuReLjSAsHIWB
46,UvlfL,08,Tampines,01,kVSXLPmrvnvdoJXkOWFWPPHdGiPIlSuJHvZfcHQdDvnskgViSWKSRWsnaCQUbzHvRJsSHYjyod
47,okRbEJhOQ,08,Tampines,01,nYQAEgWQBvQXgCnQlKkPAVFHbPHlkRlFXEFbYumuCzclKPqXVCXAIyFeUHGSPKHzCoUcrbzAKmrBZLgEFSMYUkFkQfuBjqVKZoFKSegkrySKEeovBCfybEoXAwfKVLcwjoHOBaOGGj
48,eErEk,08,Tampines,17,XqjIZdhkRorXSbGqXQDAKjKkeeojIciuZCYYXBOPsKrzMYoLRdMSruSvEAIonfCjWZkffFGearvMhMPKRsjlO
49,iSfEis,09,Bedok,01,hQEVYBhRvXyAhRlEjUbVEQSkjusjVuPKGMvnhjIojjYleRaAollBKoQOrUODdFzv
50,RPJbFr,09,Bedok,01,nySBHkBcVOXwAgrkHFiPwAEhqSkHyRyAdlSIgbSJrSRlSdDqkcvY
51,gZcAGY,09,Bedok,02,WAYRMmnQGrQEwBBCkIDRSCcrvRluPRELPuKMzLLCcOqfoSXEbXMasGgDlSMeDPGLKumjEKOwSuorgGdcmECujAeYMDEBuPBvrWMvoeeLnP
52,PyilikVhz,09,Bedok,01,kMAbQJeXADvEnjRerGkZSQfXPIFBCaLnqaZgHbQlZsykzjnCQkBRWJWfzKwZHiMaADJMmdaOCkMBSfGmlrRnD
53,eqdWLSehLh,09,Jurong_West,01,PeuZgLahJIKLfwbblqzdUOlDVSfyuShAaYKVGbbBkkOuGBSSeLrbUqIodKIodcHXmqwPkLkJBbeuVmuVimgeAhQMzfhXXnwCzkBnlAuJkYJOVclgdYqHhGMzai
54,RlmGwYQaj,09,Jurong_West,04,ARqHIdKsDWkVlkRfWFDcBJeraogDosgjLCmLeYEbfvySbvRLEsYAdeBoSqMzBHPRiPEasQizcMUkFkYschHfVOcbkgrwFsMvmcfCCrwiHYIlEPRgFQsaADcPWJFSIUcbhRvLSeijdeyaQs
55,okfMhBJ,09,Jurong_West,02,UgduBcZaXeMwjlKCoUhSZCaZvrJooMJFsbIIZHSDPXagaGzMCBScIkebhHuQKFzJhQJBZiyIhEqCPAoeBGnZmihSfOzzhzLVdGkFJEFzuOIXXWodFHLkShjmKwqrQErAywfvnoWPWJDLMwDJfoF
56,bzDvmF,09,Jurong_West,01,KZcOfbIugHdzVAUkbYvmhsdbFRcqkKnShzgWBXzePIEXGYufOoWcCwkSSgyBAykUmkEWlslaz
57,rddfUXqPOO,09,Tampines,01,SkieMFSvAQrbebbuACVPldKOmPdPLVFIMVqSsObhBljhkPovBsisqimHnQIguLRkAwFwylsdckFbwSGEyKuXOMoXvFsyBdLeebekQDvMvKBdjBFJYqnlefsZrbkbLDyROcvXUuuzuWBVFngLbvsaOX
58,vmZSc,09,Tampines,02,rgRvLmyoIHzORaRrzmcjMJbLnFeBacmDEqjhkXkVmdSuveAOifkkzbZZlHBYHPZVnUaFWODnLIcSrwGUOSDRXaIJMmafHXRadzwRlLqMSXRrkHqDBLbPvCr
59,GHAmDd,09,Tampines,04,DHcQjfuUYVFCmRwzzZAlMgwdcKuPHrUcdDjCckFMqjaekbBJQOuggZnhhakZnJUEZZRsFlWGkkonABrADzew
60,YODsjBJVHd,09,Tampines,01,egLvFPrQMiBsoziVeXAUwSKSkSJOkYjnwwGhfjRdwemoSUPCkkCJUkewKfzRURAzaKAnvVyRLyMlXSmXPBruIPWjCMqKRw
61,HyZBUVlqkh,10,Bedok,01,bFHkmELqZwECvjoQnhLkCWBFSrHBRFlvZiJnXRjcmKZEESmkHqWQgzhDHvUYUFhOsFsqQC
62,kbZvsqSzb,10,Bedok,01,KqkuBUgcMyezHiQghBPhCzSVdAsOZUrXvABaoULBLBSwRmaVLSbdgKfPnilRvfFLvBCOqRHmAJuknjJiKKYRScXMXUSdEYHwdjOEHMcUbonnCkCnDKGMsRI
63,qkgmR,10,Bedok,01,SRvrYUMKwALzMHauisqHUzXzmaJiGmMFDSVSfQekGGUIloHjCXQsYKergkgIAoXnRkcDPlkdskBjvgsvwkSKnLSfkRoPrErsgkCzSmBBcKsocrzmkcJcnDLVVhqqgRoGrLoKko
64,YeEChGkdr,10,Bedok,01,aXmnXvvWIPJzeYrWkdPdhPnVufjaIMujFPDIYnGkWFLzKSkZSzGuwkBsnXvfvklkcliGvByCjVPOnQXffJbfgcSB
65,MRWegeG,10,Jurong_West,02,fSSAfOMuqWbbAsLjQIuASGGumrKZDSShQQqZOlJikllEdbCeOoRkOlGyqRrEnIjSowMbvouVIInFErXzzDfjlIckSRsLICrHvBdXUMEFnOgkb
66,GzdbrJKVw,10,Jurong_West,01,GFSgcBnYPCHkkiSRFWgXLAziCUvbdEJiGHBqfUdCvuznZBdFywzZCmqVlqMMHgqHkkfVzKlSWjbIuKPkcUcXe
67,LMUzc,10,Jurong_West,01,bcoqSHSFucuVnbcJXmdUPqYmOuWWRRgIkAEfnDBWQSBwBnEwSyvLabiDeMcSdokDbqjkcEsZXPcGVjkaUJjIQhnErynRMovhAncAAuIXIbUwSfkGgRSEkunOvsERHFuFPjiSlZCuWVfrGZwSIUl
68,FydSyUXf,10,Jurong_West,03,liwjAfJibRnDIRhESmCsrEkQbwsbWwSdrFWkvgFqqjauPQCDgglARuksEOSvZEHqaQOwFIRCPkUfermvkSSiSSDdYAnsBeGjRogFEldksKkPGZSwy
69,sfEmgMADk,10,Tampines,01,rnSbemdzabmHraLIzDDrDvJmhUYhYXFkMyXKomnrPOmHQJhChKqAyogSPykZUbkPCLUuwqgAaqFVdOhOvQVGrXlHkcKErQRsboaUSayDloXGdzkZaWEiSarlnkY
70,CJqvEII,10,Tampines,04,uCURShKAALUsjaOKnQyqHZuJjYwaRXGMUwBqCDcfVMciZkBFciqmoKnbSwYZBXsSmAXyFVuqCrySXLnRJrsreEfaGIOeUOhbjJKaLnZbDczPIEiLSkynozh
71,SvaXH,10,Tampines,02,lvWGjiJSjRGyewmKSGiEgsZfihMaMaPUGfGaHQdeKzLmYmAjoccsSHccRSsawKqEDUMWKKSagHkXoIWVeVkCQXUZAIWwLlyPdrHMvCbEeSnRUSzinwMuQdzYayZLgCAFKkaRIudfkkPdck
72,vhsjck,10,Tampines,01,EcdOqwPEdjSbCAwzaaPGMArCXaFDSXEFroJksqYQBsCMVIbeBkIrqKMkVZgbGQvbXBXYlwgzSBrdiBhquZcvquwBsDsRbHnPQklWlzCdfioZdPakhBLD
73,KlqAkl,11,Bedok,02,HPacehCgAkBeSOZAlLioHekmflQRShXIFbgoOsfCklhIOqSSfdrjCRLWKaUkBuuHhDjfjemOQsGQgkEGlDilklJcEXGCmPgcJBfYEJyghezyCgQwjIEzVjDKsABFyCVYSDWZIhkPakcv
74,FzMaszr,11,Bedok,01,KFWrYcqSqEfAezASvqGFyULdvBmAzClrcYFGMKjIKddalBaBUBGMcyoLAZwkDYucioUKPYjJ
75,IPdZyuLIXB,11,Bedok,01,XHKADegzOehKdhIYZAGXhKESXliibuHomFUoCuvZmcPkZLCDAOYXwBAekwyblFagIPhLPILEPdF
76,RHEhmOkyr,11,Bedok,01,cZnduCbSlvLFqieMZqZZbDGyhIUhvuahuyAnsMRVccmQKqWEErgnaAAAcekUfYEhweBnGgWkHyWXz
77,ovOCZezK,11,Jurong_West,01,zSuPlssfOURuEACnWbsAXODeCXgnDWXMeVXeKPBVFYYGCUyoHLhnUiDdeFSdaBYMnlciJDRzASqfYjkIZRMkur
78,bMrds,11,Jurong_West,01,nblbgQXInUfwlJAQojcidwPPQMMYksuEmaChiRvJSSQZMgzjXOVcQIG
79,WSBuXqOaZs,11,Jurong_West,01,liQaCXChFMkncEIsYXeIAQIolyshBzkeEdlBqurWYSSJigLZVIuJLKiBhcXqSyLOoBcXdACzvRamdAcfdLUOLwluSXhCBUDmObGesPSkbSSZVf
80,mzbFE,11,Jurong_West,06,cPyiaIXMXmPiMccqAdusmZESWXMJbnEenvmaRqPKRuinHYCLjJzKRXmDZuUeDRDizlWgWQkObmDoWMcdfscRXvjzckgLKZBvbQXjIUiokrFPkrkLweUKql
81,GSLqzX,11,Tampines,05,GiAmwOHvynQGYjllqzCcurkwLCQUzfLSznIIlZKnJPgMfQzzBIFwRGLjBnYWFywkBFRkcffQskLaCOsGwZVlrkaQPVgRKslzshSPFbeubjJiJgrFcbrfeMBIQFKgkOSwiZFykQQXouwzFPwQaMrFj
82,wZHDoK,11,Tampines,02,qhePjSFcwsLwBaAlleWbkydAyZmeBUzwXkdJluKjMjMPlXYsOuErsyeOSrLIavzBEJaVSlJCzURl
83,FKmAK,11,Tampines,08,YblCsnHqiEGyeRumVSbQRQYsbjsfXzffeHAjHymDImLVoZcBGvCqlBkkQBQEkkgIkjZmaazUebJGkJwSuzDhhGSVyeSYIwRqizISdDizAdmbMDQwOPhJJUSmBmEyBLOdhHAvMQMdOOwAGoer
84,JkSziVSGjS,11,Tampines,01,PHqjoKHYoRKgmKljieUSrrfcPuRqZzZEAknozSIsZZKgKOVKyCzOZhfCbrnwgrfbrvLAYYOCFamJIQwgKnejyigvRrJHiRVeWFjZhvXDoyrIcCVO
85,uZIKSqkPc,12,Bedok,09,HwcwwIqkqfIYFWDGnvdZVbvyqYqLHzYkOiqrqSJZlSIyvdHklEsXCieWDRHJsbywifbnkBfFgLhKDLGoKQnDEkfVSeecmzJHcVrmdYUmCRf
86,SwPUSfIuV,12,Bedok,01,IYflMKzoGACJCHUhwKrqKCvYSeHKwzLKkDaAYoaVKmFuSfPKkqSCHOAAkuWZhDFdLScZESeREnwEKUJeyDaCXJzucFhYKOkkcU
87,oRXPF,12,Bedok,01,QDUSQWnWJEoVsVKIaVQGfYdzkhqJySHfSQfonkbccmEifkWvUSjAPHSRAiwuvWgdMRKDiYQiLhICSwWSRnkAEdAlZmnJViPVCwaSDSWbJWVkzGuyGLiiUFKClheFUaZRsWSLDi
88,jbfGodiv,12,Bedok,01,oGciAiDLoPoySiYgjEcdRACbzeXViAFmjFzrbbbGdVcfVbWnbaUgfJQCnAfumXoymnkuSOgjknlWHOmHwOFrbDqMLRrMSZlqCylcckCvPXg
89,VGDoDXIWm,12,Jurong_West,01,eSflIEyWOrUFDohBfwiDizMwgkEuSrWezXbyCGEPmJkDnZUnHOrImhoi
90,MRQjZiOF,12,Jurong_West,01,PFHUHVMSyheRyOOlSiEGVmFUsjklizqIAllqyDYUjLiSjdOSukOGDJQDkLGWYfHYbwbdVPIkEAWlvbsIWjQI
91,JLBIB,12,Jurong_West,02,ZbRYYVMOoulBdPyXjSzZUkbuooqhiIodDeEWSbQMUELKzIBdqEBuhOXdPGcEajJeIRXILPSSdUShbuHiCeOCjEAnnDYSMFclGSkYiCHdhdwLiUMCiroFVfZmSIOjEVkAhPHlrFYMn
92,kXZnI,12,Jurong_West,01,eOPoHklJfADZmgqejmSUJCCguiJUnkHwjCaMRzBVYdlZsIiVHFvvPdhPHKVWmlzRcnlffYmKAWvcmBfWFHUWFoEJSsFZBq
93,CUhOAFbze,12,Tampines,01,nsUlegWSgokBzmnVUIGHzvgHwmvifzJJlCOZczRRXbEoVeIBdBYOIUWcEdUeMJkAADKHkMadgfhQOkRjkSLdQSPKB
94,HDvuPDm,12,Tampines,04,DDuLAVbMobKcoEbAsienCWAhBnGgiwSdUDOaqgvHgHJHEkiYZsRaCykQSAaXFMgWzoQOISWu
95,QASISlD,12,Tampines,01,qWHOMIBKsliiOvoZCkgogluLdAHUGKuWUksUloXCwcrVmJnzKfqYUYDlSocOzkkBluMYzysHCSuiIIoqIAWhReUJg
96,QKvREoaeMD,12,Tampines,42,GhYBavCkLkogqvoHkkUSewwrlGViEhWerCBUkCYYvfHImmsGWSHyhehSzQnaZkbqvOPqPIryUffJLlykaXivUbIIZswDDPLciEBSZPFYshWrOrVrhRwbkYYqsDWJrEecF
97,SkGXC,13,Bedok,02,hefqIEJwuCElwDlyMZEHndOPLYqvUdRkvWAcLvSboyuPCKClWaYEySwLeBodBbkgCDsWnWJjlhnKEVQEdfAqSknAkVPfoorbXSrokwCyhUXhgoubOksK
98,UsLzk,13,Bedok,02,AnCDVrObIGrylUhvSSFvfPLnRaSWzeQrigmIydjJEiYkbuSyHnkwZywBEJzhsySSjbUS
99,ybFgaL,13,Bedok,01,VUvcUeCjMUhGsyaICCXaqGmqChzGaoBqKySVmfqQCozKhqJLbIbmckAVPAAbWZFiuQFeOSdbSSwHolOHBLZsqXDlAsFecDgIlrABLhGmASuPgVdbmzyYFbJFyGgsesySkvCmQsLKEfFgUMLkk
100,drFlsCjFW,13,Bedok,01,mhqAGXKgkLXUVwCcSSagBkkmaSkmXPFgkmRGmgJRseCSkjkCCwiMyzvCqYkqawIRPbQzuAyLydrQDcEnGZhHDjVRjlmVgUOjUEwyrYarJegEYnjUkvCVizZESuur
101,XQvBizqc,13,Jurong_West,02,ibdsXeylWPOWVggseIWzWSHYBuweGRvCgPjoCIZLCeYgSJRVVkkADHFbPaPfSMusbCLSYFhIBIrdKnkrLVUCOuzoPQgEKiknSyQcUHuXS
102,yuswgEPqk,13,Jurong_West,01,XZryUhzjQvSeFbSWzCQFnMkcCAjkBAuqHGSeyLaHJjBfSrAvzbuSyLeuuccZrBGSgPOrkIJzIIOvgSCcagwFyhAkdfiVSMRiqRmRklgEJBVOwjAXJMLSRUYlZklmEOswyifSegEbOKJ
103,jllPgEc,13,Jurong_West,05,bgQQrchklHZSYRPDenRXRlygYASXAeBgkXIRXEQeAbkZiBhVBozIAnojS
104,dVMGM,13,Jurong_West,01,lYizIbILPOqefoBHSXFlEAlGDLmhJQKuvWAlelZLhfJwDJEGGdqIAqukCZhuSWrk
105,vKKovRy,13,Tampines,01,zSqykmdLUflFCYmafuawXPeOraBVzuSjeoUvhDqRmBzyKsPnzgvoddSGhcuSqQkXAQVWDBEHSRZjXZdbgZeFHBJkdIuSmUPMoEHfXhGglFkEkgkDkUmGcddUmwEZEMbYejICSbPAePbaXFMg
106,UcJXfzg,13,Tampines,01,KcZkzYZSoUVsWFgiozAghDEriGmeIJEfdaoIOEPjMDoEajvFInHyoGaodhSSDKMoVLRFvEWnOvAJsKuIIXvikniOjDjrFXWao
107,VMQfefFPyK,13,Tampines,01,RDqoPkchuWqwnIjMkuDweIWGYjeUwSkfvchEySvIhMbBAgmIlZSCWALZuBc
108,imEokl,13,Tampines,01,naEGrZvRSMvYeronyhEkqHGSrHMwmOvAhSukIyPAhOgOLQlsrwREjyzhRUSSEQlWKHUaeYKIqUgVqOnhCsqFkeumJbzcLLIjsFwAXlFIykq
109,gdddDB,14,Bedok,01,YYWUzkyXjwVOuhBmsOkycSedSzAJikyqiGsRgSQLLqyyuOkZzvzzzzfVyuWFKsoiBmrWsJkUYUmSBYYSSfhsCGWLSlFMkkRyQInnwAhRVeuBPY
110,Zskignjr,14,Bedok,05,akkEJyUwCXrhvhVOCFHLUWAIbiSXevBnPMRRVqMDcdCfPykXXzAavSdzJkmoDYS
111,QldZKQzIaR,14,Bedok,11,AaFMJbvfFVIVrynFAZdaWYIMEDSgBgGfineMzkcVXvIScuQUoOIiyEjkvwsjduikKaSZkKBojbUnyuZG
112,oESOMg,14,Bedok,01,KcEyJQXaSjFdduuhiabfDHbhUASMJMVWkYhDJUiulVZCRadlEBMzkYOJuKSMEgMKPmCjdHkRQXSbszcfooqlynegSsbmVzokbgACOLSvLSdCKAaIKkyWSjYAEikKbBOInkkvOVf
113,DSfCoI,14,Jurong_West,90,PXfXkvOGgUVRIoWAZLlgYhfmkSyyKZsOKghDXCvefDuWSEUqEwMSqyuIDZsrsPbLOKbUaQwriOemksGdcluROhcCjVGnhrwjiGrOLXqogZJiliMgFCmRIjlEvwJqKEbvkWWEZYESIGQ
114,VnUQWho,14,Jurong_West,19,mZyGVLszniAdgUUcaoHYZkqHKQvdbLzHSLSLiRzwqvYJgAlYWCBQSHgCYroRnAzUWzmwmKSyeSFhXbQVbdkneKKvRjKVGgGFZHM
115,VkSPZ,14,Jurong_West,04,OkajrkVjraemkImRjDSMsmfYXmvSzaVgrOkucebelhFnYJcSOkhWzRJbiPRvSUFOEHPFqXgPBBv
116,bZdnjS,14,Jurong_West,01,KMYjFamuckLlSaUawzqJdSSacEokkZqMVoliRvlYWSIHiXMyVXm
117,yAMoqWEdws,14,Tampines,01,SawFMFoIGbkwaDewAaylVEkuROnscORdfIhcPRHoIbwBZUFqRURecdQKSZPYnKeSXdvUSKAqFiesreHDJyAyrlRyiGHWGkyPEyPgnSbCKfPwAGikwvfSvkDkvEKbRlXSh
118,uhfSfyQqm,14,Tampines,04,WORgoDSCzohilyBklkbZlqnmkSZLSjgcdkeSVhcASvReOiwAfFPkWzvA
119,DdlMyr,14,Tampines,01,SWfyvVJBOhjyOCFKUkoMaWyFZIJIJdVcShcbLiASkuZSQscbohUbShfwgnhwCXSo
